Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,Crop
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0,Anise,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, badian,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, cori,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0,er,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, cumin,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, caraway,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, fennel ,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, juniper berries,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5312,Area harvested,1654.0, raw,2000,2000,ha,344434.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,Anise,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0, badian,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0, cori,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,er,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0, cumin,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
QCL,Crops and livestock products,356,India,5412,Yield,1654.0, caraway,2000,2000,kg/ha,484.0,A,Official figure,Unknown,Unknown
