Value,N,P,K,temperature,humidity,ph,rainfall,label
29640.55760231162,91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,Banana
30024.678937682926,105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,Banana
30166.024615772352,108,92,53,27.40053601,82.96221306,6.276800323,104.9378,Banana
30337.587518228243,86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,Banana
30117.349556191242,80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,Banana
29822.632580163674,93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,Banana
29926.010066348375,90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,Banana
30327.10642514792,108,89,53,29.55054817,78.06762846,5.808497603999999,99.34482238,Banana
29723.23757476705,108,88,55,26.28845991,83.390039,5.891458107,113.8729798,Banana
30296.81457274436,105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,Banana
30045.60898917379,118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,Banana
29615.28860684993,101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,Banana
30382.058897698065,95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,Banana
30219.228019517723,106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,Banana
30046.75783478953,86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,Banana
30443.244613778472,83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,Banana
29823.90791417638,85,95,47,25.94019018,78.3422098,6.211833161,119.84797,Banana
29709.399888013777,109,79,45,27.66752761,79.68542782,6.490074429,108.66464,Banana
30261.033805944946,100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,Banana
30146.599912668666,117,86,48,28.6956201,82.54195839,6.225225238999999,116.1616839,Banana
30305.96225195243,114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,Banana
30054.758333378726,110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,Banana
30472.148124890413,94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,Banana
29787.34247215378,80,71,47,27.50527651,80.79783998,6.156373499,105.0776992,Banana
30368.862145560255,114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,Banana
29951.54417584107,88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,Banana
30412.440308637764,112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,Banana
30067.60997695696,117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,Banana
30313.816130211177,111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,Banana
30268.60028492731,89,83,47,28.09577643,77.79586769,5.63127166,109.5408614,Banana
29687.636181305636,93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,Banana
30052.136098078874,92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,Banana
29709.19414275108,105,74,45,25.14517635,81.38204104,6.098369122,119.218154,Banana
30101.953828354563,102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,Banana
