Element,Value,N,P,K,temperature,humidity,ph,rainfall,label
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,Anise
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,badian
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,coriander
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,cumin
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,caraway
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,fennel
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,juniper berries
Production,166692.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,raw
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,Anise
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,badian
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,coriander
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,cumin
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,caraway
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,fennel
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,juniper berries
Production,244943.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,raw
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,Anise
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,badian
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,coriander
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,cumin
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,caraway
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,fennel
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,juniper berries
Production,162362.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,raw
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,Anise
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,badian
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,coriander
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,cumin
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,caraway
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,fennel
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,juniper berries
Production,254737.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,raw
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,Anise
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,badian
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,coriander
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,cumin
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,caraway
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,fennel
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,juniper berries
Production,227099.0,70.6675,63.9275,77.4775,24.509439994087497,75.664439891675,6.493623361495,159.66300872449997,raw
