N,P,K,temperature,humidity,ph,rainfall,Year,Area_Harvested,Production,Yield,Crops
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2004,41906700.0,124697104.0,2975.6,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2005,43659800.0,137690096.0,3153.7,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2006,43810000.0,139136992.0,3175.9,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2007,43910000.0,144570000.0,3292.4,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2008,45537400.0,148036000.0,3250.9,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2009,41918300.0,135672992.0,3236.6,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2010,42862400.0,143963008.0,3358.7,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2011,44010000.0,157900000.0,3587.8,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2012,42754000.0,157800000.0,3690.9,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2013,44135950.0,159960000.0,3624.3,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2014,44110000.0,158214000.0,3586.8,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2015,43499200.0,156604000.0,3600.2,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2016,43993400.0,164539000.0,3740.1,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2017,43774000.0,169128000.0,3863.7,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2018,44156000.0,174711000.0,3956.7,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2019,43662000.0,178296000.0,4083.6,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2020,45769000.0,186543000.0,4075.7,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2021,46279000.0,194198000.0,4196.2,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2022,47832000.0,203624000.0,4257.1,12
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,2023,47828000.0,206727000.0,4322.3,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2004,41906700.0,124697104.0,2975.6,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2005,43659800.0,137690096.0,3153.7,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2006,43810000.0,139136992.0,3175.9,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2007,43910000.0,144570000.0,3292.4,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2008,45537400.0,148036000.0,3250.9,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2009,41918300.0,135672992.0,3236.6,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2010,42862400.0,143963008.0,3358.7,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2011,44010000.0,157900000.0,3587.8,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2012,42754000.0,157800000.0,3690.9,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2013,44135950.0,159960000.0,3624.3,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2014,44110000.0,158214000.0,3586.8,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2015,43499200.0,156604000.0,3600.2,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2016,43993400.0,164539000.0,3740.1,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2017,43774000.0,169128000.0,3863.7,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2018,44156000.0,174711000.0,3956.7,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2019,43662000.0,178296000.0,4083.6,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2020,45769000.0,186543000.0,4075.7,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2021,46279000.0,194198000.0,4196.2,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2022,47832000.0,203624000.0,4257.1,12
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,2023,47828000.0,206727000.0,4322.3,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2004,41906700.0,124697104.0,2975.6,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2005,43659800.0,137690096.0,3153.7,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2006,43810000.0,139136992.0,3175.9,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2007,43910000.0,144570000.0,3292.4,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2008,45537400.0,148036000.0,3250.9,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2009,41918300.0,135672992.0,3236.6,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2010,42862400.0,143963008.0,3358.7,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2011,44010000.0,157900000.0,3587.8,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2012,42754000.0,157800000.0,3690.9,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2013,44135950.0,159960000.0,3624.3,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2014,44110000.0,158214000.0,3586.8,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2015,43499200.0,156604000.0,3600.2,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2016,43993400.0,164539000.0,3740.1,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2017,43774000.0,169128000.0,3863.7,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2018,44156000.0,174711000.0,3956.7,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2019,43662000.0,178296000.0,4083.6,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2020,45769000.0,186543000.0,4075.7,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2021,46279000.0,194198000.0,4196.2,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2022,47832000.0,203624000.0,4257.1,12
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,2023,47828000.0,206727000.0,4322.3,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2004,41906700.0,124697104.0,2975.6,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2005,43659800.0,137690096.0,3153.7,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2006,43810000.0,139136992.0,3175.9,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2007,43910000.0,144570000.0,3292.4,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2008,45537400.0,148036000.0,3250.9,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2009,41918300.0,135672992.0,3236.6,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2010,42862400.0,143963008.0,3358.7,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2011,44010000.0,157900000.0,3587.8,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2012,42754000.0,157800000.0,3690.9,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2013,44135950.0,159960000.0,3624.3,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2014,44110000.0,158214000.0,3586.8,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2015,43499200.0,156604000.0,3600.2,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2016,43993400.0,164539000.0,3740.1,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2017,43774000.0,169128000.0,3863.7,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2018,44156000.0,174711000.0,3956.7,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2019,43662000.0,178296000.0,4083.6,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2020,45769000.0,186543000.0,4075.7,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2021,46279000.0,194198000.0,4196.2,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2022,47832000.0,203624000.0,4257.1,12
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,2023,47828000.0,206727000.0,4322.3,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2004,41906700.0,124697104.0,2975.6,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2005,43659800.0,137690096.0,3153.7,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2006,43810000.0,139136992.0,3175.9,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2007,43910000.0,144570000.0,3292.4,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2008,45537400.0,148036000.0,3250.9,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2009,41918300.0,135672992.0,3236.6,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2010,42862400.0,143963008.0,3358.7,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2011,44010000.0,157900000.0,3587.8,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2012,42754000.0,157800000.0,3690.9,12
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,2013,44135950.0,159960000.0,3624.3,12
