Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,2000,kg/ha,484.0,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,2001,kg/ha,430.3,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,2002,kg/ha,296.8,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,2003,kg/ha,534.5,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,kg/ha,553.1,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,kg/ha,584.4,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,kg/ha,568.1,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,kg/ha,701.3,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,kg/ha,657.5,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,kg/ha,684.4,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,kg/ha,736.7,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,kg/ha,774.7,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,2012,kg/ha,774.6,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,2013,kg/ha,784.0,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,2014,kg/ha,790.9,E,Estimated value,
QCL,Crops and livestock products,356,India,5412,Yield,1654.0,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2015,kg/ha,799.4,E,Estimated value,
