Element,Value,N,P,K,temperature,humidity,ph,rain fall,label
Production,14137300.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,14209900.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,13304400.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,13856600.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,16744500.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,18887800.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,20997800.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,23823000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,26217000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,26469500.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,29780000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,28455100.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,26509000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,27575000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,29724550.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,29221000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,29135000.0,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,2847000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,3296200.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,2618800.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4230800.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,2883900.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,2630800.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,3270000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,3930000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,3010000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,2430000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4890000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4330000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,3760000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4020000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4230000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,4260000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
Production,5890000.0,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006,"Beans, dry"
