Element,N,P,K,temperature,humidity,ph,rainfall,label
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,20.8,134.22,199.89,22.6309424132,92.3333828756,5.929662931809999,112.654779275,Apples
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
Production,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001,Bananas
